paper_id,sampling_stratum,candidate_rank,article_source_sha256,primary_gates,second_pass_verdict,quotes_checked,availability_segment_id,access_class_under_amendment,author_verification
PMID:41032336,Biomedical_Basic,1,fbdf5c73b6abd6dfe66183e46f7641b409262e3128027366dba534225de9ceea,G1=no; G2=not_applicable; G3=not_applicable; G4=not_applicable; G5=not_applicable,confirmed,2,S0082,deposited_output_only,pending
PMID:36493775,Biomedical_Basic,3,da8ddfd4f8124c1521b400ad9089ad7ebc73197c9ba21e05f50d63f716496e49,G1=yes; G2=yes; G3=public; G4=available; G5=uncertain,confirmed,4,S0408,deposited_output_only,pending
PMID:39730532,Clinical_Medicine,1,105ff3d25d184ecbd4389f4bdcf91392e547f6d409b27069514b8672c6ab6ad2,G1=yes; G2=yes; G3=restricted_but_potentially_accessible; G4=available; G5=uncertain,confirmed,4,S0112,application_required,pending
PMID:36358920,Chemistry_Materials,2,872e6badceed6504a10403282c92d65f658eb257a5ee4128a66c74cf35e2dba5,G1=yes; G2=yes; G3=public; G4=uncertain; G5=uncertain,confirmed,5,S0141,size_unannounced,pending
PMID:34031721,Physics_Engineering,2,ba6aea846acfb1ac4baae0996ba84ce71e0da1adb24f9d269c2a5d025577c989,G1=yes; G2=yes; G3=restricted_but_potentially_accessible; G4=available; G5=insufficient,confirmed,4,S0085,author_request_only,pending
PMID:33574863,Social_Behavioral,4,b071f5ba12722ac31c7cb6b50be63652940468a2f5852512f8d01c3c87cd9308,G1=no; G2=not_applicable; G3=not_applicable; G4=not_applicable; G5=not_applicable,confirmed,2,S0034,no_deposit_named,pending
PMID:40496022,Social_Behavioral,6,3fe122e8e4ccd16ad30926719590a75ac0bc29727075251a6cfd9951500cf17a,G1=no; G2=not_applicable; G3=not_applicable; G4=not_applicable; G5=not_applicable,confirmed,1,S0133,no_deposit_named,pending
PMID:41497311,Social_Behavioral,10,fe1a7f7d85926905128042adc987018fc68a068a80b2da98740d07dfed7b69a6,G1=uncertain; G2=uncertain; G3=restricted_but_potentially_accessible; G4=available; G5=uncertain,confirmed,3,S0132,author_request_only,pending
PMID:33584682,Social_Behavioral,12,4b476d4d774b84461c9bef261b4935bd3e5b6f151529e439dcb1014031f4c5dd,G1=yes; G2=uncertain; G3=insufficiently_identified; G4=available; G5=uncertain,confirmed,4,S0267,supplement_only_unverified,pending
PMID:36409083,Computational_Science,3,5fd34b5d31cf22e205a1fd75ed75c5341f44d299af11d2371b0110665080a194,G1=yes; G2=uncertain; G3=public; G4=available; G5=uncertain,confirmed,4,S0112,listing_unavailable,pending
PMID:39472468,Environmental_Earth,9,d14fd4071a3f25850be1cd804ff5aa58fb769b0a4aa55b50b63a6a1f7a92fea7,G1=yes; G2=yes; G3=restricted_but_potentially_accessible; G4=available; G5=uncertain,confirmed,4,S0145,author_request_only,pending
