paper_id,sampling_stratum,candidate_rank,article_text_status,article_source_sha256,G1_computationally_testable,G1_reason,G2_principal_target_identifiable,G3_input_accessibility,G4_resource_accessibility,G5_specification_sufficient_for_attempt,target_candidate,pilot_decision,evidence_segment_ids,assessment_status
PMID:41032336,Biomedical_Basic,1,lawful_text_retained,fbdf5c73b6abd6dfe66183e46f7641b409262e3128027366dba534225de9ceea,no,Central claims are wet-lab outcomes: colony pigmentation of 42 strains on a new differential medium. The ML phylogeny (ClustalW/MEGA X) only supports strain identification and is not a central claim.,not_applicable,not_applicable,not_applicable,not_applicable,none (no central computational output),not_pilot_case_replaced,S0038;S0034,DEVIN_PRIMARY_PENDING_AUTHOR_VERIFICATION
PMID:36493775,Biomedical_Basic,3,lawful_text_retained,da8ddfd4f8124c1521b400ad9089ad7ebc73197c9ba21e05f50d63f716496e49,yes,Central claim (within-region genetic diversity increases monotonically through the Holocene) is a statistical estimate computed from genotype data: pairwise (1 - f3) distances and Spearman correlation with time.,yes,public,available,uncertain,"Per-region Spearman rho between within-region genetic diversity (mean pairwise 1 - f3) and time period; reported as rho > 0.94, one-sided p < 0.04 in all regions except the Aegean (Figure 4; Zenodo Table Z4).",provisional_pilot_case,S0079;S0406;S0408;S0141,DEVIN_PRIMARY_PENDING_AUTHOR_VERIFICATION
PMID:39730532,Clinical_Medicine,1,lawful_text_retained,105ff3d25d184ecbd4389f4bdcf91392e547f6d409b27069514b8672c6ab6ad2,yes,Central claim is a predictive-evaluation metric (test accuracy of a hybrid CNN + classical-feature classifier on MRI).,yes,restricted_but_potentially_accessible,available,uncertain,Test-set accuracy for AD vs CN classification = 91.84% (Table 5).,provisional_pilot_case,S0087;S0036;S0112;S0047,DEVIN_PRIMARY_PENDING_AUTHOR_VERIFICATION
PMID:36358920,Chemistry_Materials,2,lawful_text_retained,872e6badceed6504a10403282c92d65f658eb257a5ee4128a66c74cf35e2dba5,yes,Central claim (numbers of differential urinary proteins between time points/groups) is produced by DIA quantification followed by fold-change and t-test screening.,yes,public,uncertain,uncertain,Number of differential proteins at W1 vs W0 within the experimental group: 12 upregulated and 15 downregulated (Table 1).,provisional_pilot_case,S0042;S0041;S0030;S0028;S0035,DEVIN_PRIMARY_PENDING_AUTHOR_VERIFICATION
PMID:34031721,Physics_Engineering,2,lawful_text_retained,ba6aea846acfb1ac4baae0996ba84ce71e0da1adb24f9d269c2a5d025577c989,yes,"Central dexterity claim (40% fewer movements, reduced path length/time) is computed from video-based marker tracking and movement-feature extraction followed by paired t-tests.",yes,restricted_but_potentially_accessible,available,insufficient,"Reduction in number of movements with Click-On vs DROP-IN probe during the phantom exercise = 40% (Results, Fig. 3).",provisional_pilot_case,S0054;S0034;S0046;S0085,DEVIN_PRIMARY_PENDING_AUTHOR_VERIFICATION
PMID:33574863,Social_Behavioral,4,lawful_text_retained,b071f5ba12722ac31c7cb6b50be63652940468a2f5852512f8d01c3c87cd9308,no,"Central claims are wet-lab measurements (lignin degradation ratios, LiP/MnP enzyme activities, GC-MS product identification). Statistics are mean ± SD and one-way ANOVA/Duncan on unpublished replicates; no central computational transformation.",not_applicable,not_applicable,not_applicable,not_applicable,none,not_pilot_case_replaced,S0034;S0034,DEVIN_PRIMARY_PENDING_AUTHOR_VERIFICATION
PMID:40496022,Social_Behavioral,6,lawful_text_retained,3fe122e8e4ccd16ad30926719590a75ac0bc29727075251a6cfd9951500cf17a,no,Collaboration profile article describing a serosurveillance platform; states no data are associated with the article and presents no central computational result.,not_applicable,not_applicable,not_applicable,not_applicable,none,not_pilot_case_replaced,S0133,DEVIN_PRIMARY_PENDING_AUTHOR_VERIFICATION
PMID:41497311,Social_Behavioral,10,lawful_text_retained,fe1a7f7d85926905128042adc987018fc68a068a80b2da98740d07dfed7b69a6,uncertain,"Mixed-methods study; the headline quantitative result (56.8% perceiving T1D as a barrier) is a proportion of 51 respondents, and the main conclusions are thematic. Chi-square/relative-risk analyses exist but are not the central claim.",uncertain,restricted_but_potentially_accessible,available,uncertain,Proportion perceiving T1D as a barrier to obesity treatment = 56.8% (Results).,not_pilot_case_replaced,S0006;S0132;S0028,DEVIN_PRIMARY_PENDING_AUTHOR_VERIFICATION
PMID:33584682,Social_Behavioral,12,lawful_text_retained,4b476d4d774b84461c9bef261b4935bd3e5b6f151529e439dcb1014031f4c5dd,yes,"Central claims are statistical associations (Spearman correlations, Mann-Whitney/Wilcoxon tests) between flow-cytometry-derived cell frequencies and antibody titers; reproducing them requires applying the tests to the per-animal values.",uncertain,insufficiently_identified,available,uncertain,Spearman correlation between LN Env-specific TFH cells post-priming and rectal Env-specific IgA titers (Figure 3F/G and Table 2; abstract order of appearance).,provisional_pilot_case,S0007;S0067;S0067;S0267,DEVIN_PRIMARY_PENDING_AUTHOR_VERIFICATION
PMID:36409083,Computational_Science,3,lawful_text_retained,5fd34b5d31cf22e205a1fd75ed75c5341f44d299af11d2371b0110665080a194,yes,Core-genome phylogeny (Roary + IQ-TREE) and lineage-specific gene distribution from 142 sequenced genomes are central computational results alongside wet-lab phenotypes.,uncertain,public,available,uncertain,Lineage-specific presence of the spl serine protease gene cluster: present only in ST5 and ST239 among the 142 represented ST59/ST398/ST239/ST5 isolates (Fig. 2A).,provisional_pilot_case,S0028;S0112;S0092;S0023,DEVIN_PRIMARY_PENDING_AUTHOR_VERIFICATION
